dep_delay,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,time_hour,airline_name,flight_date,departure_time,arrival_time,dep_delay_status,distance_category
15,8,US,2171,N959UW,LGA,DCA,46,214,06-01-2013 11:00,Us Airways Inc.,06-01-2013,11:15:00 AM,12:24:00 PM,Delayed,Short Haul
1,-3,EV,5273,N759EV,LGA,PIT,65,335,06-01-2013 11:00,Expressjet Airlines Inc.,06-01-2013,11:16:00 AM,12:54:00 PM,Delayed,Short Haul
16,14,B6,641,N571JB,JFK,SFO,365,2586,06-01-2013 11:00,Jetblue Airways,06-01-2013,11:16:00 AM,02:45:00 PM,Delayed,Long Haul
16,7,DL,1275,N3765,JFK,SLC,291,1990,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:16:00 AM,02:27:00 PM,Delayed,Long Haul
1,-4,EV,4279,N16112,EWR,MCI,173,1092,06-01-2013 11:00,Expressjet Airlines Inc.,06-01-2013,11:19:00 AM,01:30:00 PM,Delayed,Medium  Haul
-9,-1,US,1085,N178US,LGA,CLT,97,544,06-01-2013 11:00,Us Airways Inc.,06-01-2013,11:21:00 AM,01:31:00 PM,On Time,Medium  Haul
-3,-20,DL,315,N3753,JFK,SJU,194,1598,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:22:00 AM,04:00:00 PM,On Time,Long Haul
-2,-10,AA,327,N3DCAA,LGA,ORD,121,733,06-01-2013 11:00,American Airlines Inc.,06-01-2013,11:23:00 AM,12:55:00 PM,On Time,Medium  Haul
-5,-9,DL,695,N905DL,JFK,MCO,152,944,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:25:00 AM,02:21:00 PM,On Time,Medium  Haul
-4,-13,EV,4431,N16151,EWR,RDU,75,416,06-01-2013 11:00,Expressjet Airlines Inc.,06-01-2013,11:26:00 AM,12:53:00 PM,On Time,Short Haul
-9,8,MQ,4553,N723MQ,LGA,CLE,74,419,06-01-2013 11:00,Envoy Air,06-01-2013,11:26:00 AM,01:38:00 PM,On Time,Short Haul
-1,-2,UA,703,N554UA,JFK,LAX,346,2475,06-01-2013 11:00,United Air Lines Inc.,06-01-2013,11:29:00 AM,02:35:00 PM,On Time,Long Haul
3,-9,UA,980,N409UA,EWR,DEN,224,1605,06-01-2013 11:00,United Air Lines Inc.,06-01-2013,11:29:00 AM,01:36:00 PM,Delayed,Long Haul
1,-12,VX,409,N638VA,JFK,LAX,342,2475,06-01-2013 11:00,Virgin America,06-01-2013,11:31:00 AM,02:38:00 PM,Delayed,Long Haul
1,-13,WN,145,N956WN,EWR,STL,135,872,06-01-2013 11:00,Southwest Airlines Co.,06-01-2013,11:31:00 AM,01:02:00 PM,Delayed,Medium  Haul
3,3,B6,133,N527JB,JFK,RSW,170,1074,06-01-2013 11:00,Jetblue Airways,06-01-2013,11:32:00 AM,02:40:00 PM,Delayed,Medium  Haul
-2,-14,DL,2219,N327NB,LGA,MSP,147,1020,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:32:00 AM,01:31:00 PM,On Time,Medium  Haul
10,24,B6,1,N590JB,JFK,FLL,169,1069,06-01-2013 11:00,Jetblue Airways,06-01-2013,11:33:00 AM,02:49:00 PM,Delayed,Medium  Haul
-4,-2,EV,4347,N14902,EWR,BTV,48,266,06-01-2013 11:00,Expressjet Airlines Inc.,06-01-2013,11:36:00 AM,12:53:00 PM,On Time,Short Haul
21,18,B6,24,N353JB,JFK,BTV,49,266,06-01-2013 11:00,Jetblue Airways,06-01-2013,11:36:00 AM,12:44:00 PM,Delayed,Short Haul
-1,25,AA,1623,N3GBAA,EWR,MIA,172,1085,06-01-2013 11:00,American Airlines Inc.,06-01-2013,11:39:00 AM,03:10:00 PM,On Time,Medium  Haul
9,14,UA,1000,N33132,EWR,MCO,156,937,06-01-2013 11:00,United Air Lines Inc.,06-01-2013,11:39:00 AM,02:36:00 PM,Delayed,Medium  Haul
-5,6,FL,353,N971AT,LGA,CAK,80,397,06-01-2013 11:00,Airtran Airways Corporation,06-01-2013,11:40:00 AM,01:27:00 PM,On Time,Short Haul
9,15,UA,1707,N14214,EWR,TPA,170,997,06-01-2013 11:00,United Air Lines Inc.,06-01-2013,11:41:00 AM,02:54:00 PM,Delayed,Medium  Haul
3,26,DL,930,N353NB,LGA,FLL,186,1076,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:43:00 AM,03:16:00 PM,Delayed,Medium  Haul
-7,15,EV,4679,N13914,EWR,JAX,144,820,06-01-2013 11:00,Expressjet Airlines Inc.,06-01-2013,11:45:00 AM,02:39:00 PM,On Time,Medium  Haul
-5,-18,MQ,4646,N546MQ,LGA,MSP,145,1020,06-01-2013 11:00,Envoy Air,06-01-2013,11:45:00 AM,01:27:00 PM,On Time,Medium  Haul
1,13,DL,1875,N906DL,LGA,TPA,164,1010,06-01-2013 11:00,Delta Air Lines Inc.,06-01-2013,11:46:00 AM,03:07:00 PM,Delayed,Medium  Haul
-7,-29,DL,863,N711ZX,JFK,LAX,337,2475,06-01-2013 12:00,Delta Air Lines Inc.,06-01-2013,11:53:00 AM,03:00:00 PM,On Time,Long Haul
-7,-14,MQ,4601,N500MQ,LGA,BNA,124,764,06-01-2013 12:00,Envoy Air,06-01-2013,11:53:00 AM,01:16:00 PM,On Time,Medium  Haul
28,25,UA,1283,N76254,EWR,SJU,201,1608,06-01-2013 11:00,United Air Lines Inc.,06-01-2013,11:53:00 AM,04:43:00 PM,Delayed,Long Haul
-10,-11,EV,4087,N14959,EWR,PWM,49,284,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,11:55:00 AM,01:07:00 PM,On Time,Short Haul
-5,15,B6,523,N516JB,EWR,MCO,149,937,06-01-2013 12:00,Jetblue Airways,06-01-2013,11:55:00 AM,03:03:00 PM,On Time,Medium  Haul
-3,0,B6,625,N249JB,JFK,HOU,235,1428,06-01-2013 11:00,Jetblue Airways,06-01-2013,11:55:00 AM,03:02:00 PM,On Time,Medium  Haul
-4,-6,MQ,4425,N835MQ,JFK,DCA,58,213,06-01-2013 12:00,Envoy Air,06-01-2013,11:56:00 AM,01:09:00 PM,On Time,Short Haul
-2,-7,AA,3,N324AA,JFK,LAX,344,2475,06-01-2013 12:00,American Airlines Inc.,06-01-2013,11:58:00 AM,03:03:00 PM,On Time,Long Haul
-7,-18,AA,743,N577AA,LGA,DFW,217,1389,06-01-2013 12:00,American Airlines Inc.,06-01-2013,11:58:00 AM,03:02:00 PM,On Time,Medium  Haul
-2,-1,DL,1947,N555NW,LGA,ATL,126,762,06-01-2013 12:00,Delta Air Lines Inc.,06-01-2013,11:58:00 AM,02:37:00 PM,On Time,Medium  Haul
0,-15,UA,73,N79279,EWR,SFO,355,2565,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:00:00 PM,03:14:00 PM,On Time,Long Haul
2,-30,VX,25,N847VA,JFK,SFO,353,2586,06-01-2013 12:00,Virgin America,06-01-2013,12:02:00 PM,03:15:00 PM,Delayed,Long Haul
-1,2,UA,1722,N76508,EWR,IAH,220,1400,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:02:00 PM,03:08:00 PM,On Time,Medium  Haul
3,34,US,1443,N737US,JFK,CLT,106,541,06-01-2013 12:00,Us Airways Inc.,06-01-2013,12:03:00 PM,02:30:00 PM,Delayed,Medium  Haul
4,2,B6,1174,N334JB,EWR,BOS,42,200,06-01-2013 12:00,Jetblue Airways,06-01-2013,12:04:00 PM,01:08:00 PM,Delayed,Short Haul
-3,0,WN,477,N705SW,EWR,BWI,42,169,06-01-2013 12:00,Southwest Airlines Co.,06-01-2013,12:07:00 PM,01:10:00 PM,On Time,Short Haul
-5,-13,B6,673,N641JB,JFK,LAX,343,2475,06-01-2013 12:00,Jetblue Airways,06-01-2013,12:15:00 PM,03:18:00 PM,On Time,Long Haul
-4,-19,MQ,3697,N8EGMQ,EWR,ORD,117,719,06-01-2013 12:00,Envoy Air,06-01-2013,12:16:00 PM,01:31:00 PM,On Time,Medium  Haul
0,-10,UA,1227,N77430,EWR,PHX,302,2133,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:16:00 PM,03:45:00 PM,On Time,Long Haul
12,6,WN,644,N463WN,EWR,MDW,116,711,06-01-2013 12:00,Southwest Airlines Co.,06-01-2013,12:17:00 PM,01:31:00 PM,Delayed,Medium  Haul
-7,-1,EV,4692,N16976,EWR,CMH,86,463,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:18:00 PM,02:09:00 PM,On Time,Short Haul
27,18,9E,3483,N919XJ,JFK,BOS,41,187,06-01-2013 11:00,Endeavor Air Inc.,06-01-2013,12:22:00 PM,01:22:00 PM,Delayed,Short Haul
23,41,EV,4689,N12126,EWR,CHS,117,628,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:23:00 PM,02:49:00 PM,Delayed,Medium  Haul
-10,-9,MQ,4404,N839MQ,JFK,RDU,82,427,06-01-2013 12:00,Envoy Air,06-01-2013,12:25:00 PM,02:06:00 PM,On Time,Short Haul
26,36,MQ,4658,N856MQ,LGA,ATL,138,762,06-01-2013 12:00,Envoy Air,06-01-2013,12:26:00 PM,03:06:00 PM,Delayed,Medium  Haul
-2,11,EV,3826,N27962,EWR,ATL,139,746,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:28:00 PM,03:11:00 PM,On Time,Medium  Haul
8,-6,AA,1757,N551AA,LGA,STL,140,888,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:28:00 PM,02:09:00 PM,Delayed,Medium  Haul
-2,-16,UA,1623,N78509,LGA,IAH,223,1416,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:28:00 PM,03:27:00 PM,On Time,Medium  Haul
1,-23,WN,283,N219WN,LGA,MKE,119,738,06-01-2013 12:00,Southwest Airlines Co.,06-01-2013,12:31:00 PM,01:42:00 PM,Delayed,Medium  Haul
0,-7,EV,4135,N13202,EWR,CLT,99,529,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:32:00 PM,02:22:00 PM,On Time,Medium  Haul
-6,-18,DL,1131,N358NB,LGA,DTW,95,502,06-01-2013 12:00,Delta Air Lines Inc.,06-01-2013,12:34:00 PM,02:27:00 PM,On Time,Medium  Haul
14,13,UA,238,N503UA,EWR,MIA,166,1085,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:34:00 PM,03:30:00 PM,Delayed,Medium  Haul
-8,-16,AA,1850,N3HPAA,JFK,BOS,38,187,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:37:00 PM,01:34:00 PM,On Time,Short Haul
-1,-10,AA,1853,N471AA,EWR,DFW,208,1372,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:39:00 PM,03:30:00 PM,On Time,Medium  Haul
-5,-12,AA,2253,N3HFAA,LGA,MIA,165,1096,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:40:00 PM,03:48:00 PM,On Time,Medium  Haul
202,174,UA,1142,N74856,EWR,LAX,324,2454,06-01-2013 09:00,United Air Lines Inc.,06-01-2013,12:42:00 PM,03:27:00 PM,Delayed,Long Haul
-7,-5,EV,4893,N600QX,EWR,DTW,95,488,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:43:00 PM,02:44:00 PM,On Time,Short Haul
3,-4,AA,2041,N615AA,JFK,MIA,164,1089,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:43:00 PM,03:51:00 PM,Delayed,Medium  Haul
-6,-13,DL,1685,N350NA,LGA,MCO,151,950,06-01-2013 12:00,Delta Air Lines Inc.,06-01-2013,12:44:00 PM,03:37:00 PM,On Time,Medium  Haul
-5,-7,UA,744,N851UA,EWR,DFW,223,1372,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,12:45:00 PM,03:56:00 PM,On Time,Medium  Haul
17,13,EV,4640,N14570,EWR,DAY,93,533,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:47:00 PM,02:40:00 PM,Delayed,Medium  Haul
6,-9,AA,745,N3GXAA,LGA,DFW,210,1389,06-01-2013 12:00,American Airlines Inc.,06-01-2013,12:51:00 PM,03:41:00 PM,Delayed,Medium  Haul
1,-17,WN,390,N404WN,LGA,DEN,228,1620,06-01-2013 12:00,Southwest Airlines Co.,06-01-2013,12:51:00 PM,03:03:00 PM,Delayed,Long Haul
-5,-18,EV,4368,N14916,EWR,BDL,28,116,06-01-2013 12:00,Expressjet Airlines Inc.,06-01-2013,12:52:00 PM,01:36:00 PM,On Time,Short Haul
-5,-21,9E,3638,N835AY,JFK,PHL,27,94,06-01-2013 13:00,Endeavor Air Inc.,06-01-2013,12:55:00 PM,01:45:00 PM,On Time,Short Haul
-5,11,B6,991,N568JB,JFK,PBI,158,1028,06-01-2013 13:00,Jetblue Airways,06-01-2013,12:55:00 PM,04:05:00 PM,On Time,Medium  Haul
-4,2,9E,3762,N8828D,EWR,CVG,112,569,06-01-2013 13:00,Endeavor Air Inc.,06-01-2013,12:56:00 PM,03:08:00 PM,On Time,Medium  Haul
4,15,B6,85,N807JB,JFK,FLL,176,1069,06-01-2013 12:00,Jetblue Airways,06-01-2013,12:56:00 PM,04:10:00 PM,Delayed,Medium  Haul
-3,-20,US,2128,N947UW,LGA,BOS,36,184,06-01-2013 13:00,Us Airways Inc.,06-01-2013,12:57:00 PM,01:49:00 PM,On Time,Short Haul
-1,8,EV,4950,N753EV,EWR,ATL,129,746,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,12:59:00 PM,03:37:00 PM,On Time,Medium  Haul
0,-14,AA,329,N478AA,LGA,ORD,120,733,06-01-2013 13:00,American Airlines Inc.,06-01-2013,01:00:00 PM,02:26:00 PM,On Time,Medium  Haul
1,4,B6,32,N198JB,JFK,ROC,57,264,06-01-2013 12:00,Jetblue Airways,06-01-2013,01:00:00 PM,02:22:00 PM,Delayed,Short Haul
0,15,MQ,4426,N725MQ,LGA,CMH,85,479,06-01-2013 13:00,Envoy Air,06-01-2013,01:00:00 PM,03:05:00 PM,On Time,Short Haul
2,-8,B6,1006,N274JB,JFK,BOS,38,187,06-01-2013 12:00,Jetblue Airways,06-01-2013,01:01:00 PM,01:56:00 PM,Delayed,Short Haul
1,-1,WN,2239,N743SW,EWR,HOU,228,1411,06-01-2013 13:00,Southwest Airlines Co.,06-01-2013,01:01:00 PM,04:09:00 PM,Delayed,Medium  Haul
-6,-6,FL,348,N892AT,LGA,ATL,130,762,06-01-2013 13:00,Airtran Airways Corporation,06-01-2013,01:02:00 PM,03:36:00 PM,On Time,Medium  Haul
5,8,US,1459,N173US,LGA,CLT,98,544,06-01-2013 12:00,Us Airways Inc.,06-01-2013,01:04:00 PM,03:10:00 PM,Delayed,Medium  Haul
-4,12,EV,4148,N15973,EWR,BUF,56,282,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:06:00 PM,02:39:00 PM,On Time,Short Haul
2,2,EV,4306,N14953,LGA,CLE,77,419,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:07:00 PM,02:52:00 PM,Delayed,Short Haul
12,26,B6,209,N633JB,JFK,LGB,357,2465,06-01-2013 12:00,Jetblue Airways,06-01-2013,01:10:00 PM,04:36:00 PM,Delayed,Long Haul
-1,-7,MQ,4564,N736MQ,LGA,DTW,111,502,06-01-2013 13:00,Envoy Air,06-01-2013,01:14:00 PM,03:13:00 PM,On Time,Medium  Haul
-1,2,US,1615,N554UW,EWR,CLT,92,529,06-01-2013 13:00,Us Airways Inc.,06-01-2013,01:14:00 PM,03:07:00 PM,On Time,Medium  Haul
11,3,UA,1641,N79402,EWR,MCO,152,937,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,01:16:00 PM,04:00:00 PM,Delayed,Medium  Haul
0,-11,EV,3829,N14991,EWR,BOS,39,200,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:17:00 PM,02:14:00 PM,On Time,Short Haul
-1,0,EV,4231,N14904,EWR,IAD,47,212,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:19:00 PM,02:36:00 PM,On Time,Short Haul
16,27,EV,4129,N16561,EWR,DCA,46,199,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:21:00 PM,02:32:00 PM,Delayed,Short Haul
-3,-4,MQ,4475,N737MQ,LGA,RDU,79,431,06-01-2013 13:00,Envoy Air,06-01-2013,01:22:00 PM,03:01:00 PM,On Time,Short Haul
-5,-13,B6,355,N587JB,JFK,BUR,344,2465,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:25:00 PM,04:28:00 PM,On Time,Long Haul
-4,0,DL,2043,N3734B,JFK,ATL,126,760,06-01-2013 13:00,Delta Air Lines Inc.,06-01-2013,01:26:00 PM,04:05:00 PM,On Time,Medium  Haul
-3,-24,AA,753,N3GGAA,LGA,DFW,212,1389,06-01-2013 13:00,American Airlines Inc.,06-01-2013,01:27:00 PM,04:16:00 PM,On Time,Medium  Haul
-3,-21,VX,411,N621VA,JFK,LAX,347,2475,06-01-2013 13:00,Virgin America,06-01-2013,01:27:00 PM,04:34:00 PM,On Time,Long Haul
-10,-6,B6,525,N197JB,EWR,MCO,147,937,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:30:00 PM,04:20:00 PM,On Time,Medium  Haul
15,11,UA,1272,N14115,EWR,LAX,330,2454,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,01:30:00 PM,04:34:00 PM,Delayed,Long Haul
31,23,EV,4158,N12967,EWR,RIC,54,277,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:31:00 PM,02:44:00 PM,Delayed,Short Haul
1,-14,WN,1078,N433LV,EWR,PHX,297,2133,06-01-2013 13:00,Southwest Airlines Co.,06-01-2013,01:31:00 PM,04:51:00 PM,Delayed,Long Haul
67,65,B6,66,N229JB,JFK,BUF,65,301,06-01-2013 12:00,Jetblue Airways,06-01-2013,01:32:00 PM,02:53:00 PM,Delayed,Short Haul
0,-1,EV,5683,N14920,EWR,BWI,38,169,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:35:00 PM,02:33:00 PM,On Time,Short Haul
-7,-10,AA,1073,N3GAAA,LGA,MIA,169,1096,06-01-2013 13:00,American Airlines Inc.,06-01-2013,01:38:00 PM,04:55:00 PM,On Time,Medium  Haul
-5,-7,EV,4171,N13913,EWR,MSN,126,799,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:40:00 PM,03:06:00 PM,On Time,Medium  Haul
16,6,B6,705,N603JB,JFK,SJU,197,1598,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:40:00 PM,06:16:00 PM,Delayed,Long Haul
-3,-1,AA,117,N322AA,JFK,LAX,342,2475,06-01-2013 13:00,American Airlines Inc.,06-01-2013,01:42:00 PM,05:04:00 PM,On Time,Long Haul
-5,-15,US,688,N656AW,EWR,PHX,297,2133,06-01-2013 13:00,Us Airways Inc.,06-01-2013,01:45:00 PM,05:00:00 PM,On Time,Long Haul
11,23,B6,431,N580JB,LGA,SRQ,173,1047,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:46:00 PM,04:54:00 PM,Delayed,Medium  Haul
-3,-20,DL,1705,N344NB,LGA,MSY,190,1183,06-01-2013 13:00,Delta Air Lines Inc.,06-01-2013,01:47:00 PM,04:08:00 PM,On Time,Medium  Haul
33,42,B6,393,N706JB,LGA,MCO,147,950,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:48:00 PM,04:47:00 PM,Delayed,Medium  Haul
-2,-6,MQ,4577,N537MQ,LGA,CLT,92,544,06-01-2013 13:00,Envoy Air,06-01-2013,01:48:00 PM,03:39:00 PM,On Time,Medium  Haul
51,28,UA,1137,N17104,EWR,ORD,116,719,06-01-2013 12:00,United Air Lines Inc.,06-01-2013,01:50:00 PM,03:04:00 PM,Delayed,Medium  Haul
-5,-14,B6,1783,N649JB,JFK,MCO,149,944,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:51:00 PM,04:36:00 PM,On Time,Medium  Haul
-4,-8,B6,602,N309JB,JFK,PWM,47,273,06-01-2013 13:00,Jetblue Airways,06-01-2013,01:51:00 PM,03:02:00 PM,On Time,Short Haul
-4,21,DL,2079,N357NW,LGA,FLL,184,1076,06-01-2013 13:00,Delta Air Lines Inc.,06-01-2013,01:51:00 PM,05:29:00 PM,On Time,Medium  Haul
2,26,UA,620,N576UA,EWR,FLL,184,1065,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,01:52:00 PM,05:23:00 PM,Delayed,Medium  Haul
-6,4,EV,4370,N14542,EWR,CHS,113,628,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,01:53:00 PM,04:04:00 PM,On Time,Medium  Haul
12,-14,UA,15,N69063,EWR,HNL,610,4963,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,01:53:00 PM,07:27:00 PM,Delayed,Long Haul
-1,12,UA,1604,N87527,EWR,IAH,218,1400,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,01:54:00 PM,05:05:00 PM,On Time,Medium  Haul
0,-25,WN,348,N709SW,LGA,MDW,115,725,06-01-2013 13:00,Southwest Airlines Co.,06-01-2013,01:55:00 PM,03:05:00 PM,On Time,Medium  Haul
-4,-3,DL,2247,N665DN,LGA,ATL,123,762,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,01:56:00 PM,04:33:00 PM,On Time,Medium  Haul
111,111,MQ,4431,N730MQ,LGA,RDU,76,431,06-01-2013 12:00,Envoy Air,06-01-2013,01:56:00 PM,03:36:00 PM,Delayed,Short Haul
2,8,UA,1122,N37434,EWR,PBI,165,1023,06-01-2013 13:00,United Air Lines Inc.,06-01-2013,02:01:00 PM,05:07:00 PM,Delayed,Medium  Haul
27,33,B6,615,N348JB,JFK,JAX,142,828,06-01-2013 13:00,Jetblue Airways,06-01-2013,02:02:00 PM,04:41:00 PM,Delayed,Medium  Haul
-5,10,DL,935,N348NB,EWR,ATL,127,746,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,02:10:00 PM,04:48:00 PM,On Time,Medium  Haul
57,82,B6,505,N768JB,EWR,FLL,183,1065,06-01-2013 13:00,Jetblue Airways,06-01-2013,02:12:00 PM,05:33:00 PM,Delayed,Medium  Haul
-7,-23,MQ,4588,N509MQ,LGA,MSP,143,1020,06-01-2013 14:00,Envoy Air,06-01-2013,02:13:00 PM,03:57:00 PM,On Time,Medium  Haul
-2,11,FL,349,N975AT,LGA,ATL,133,762,06-01-2013 14:00,Airtran Airways Corporation,06-01-2013,02:14:00 PM,05:01:00 PM,On Time,Medium  Haul
57,52,EV,4519,N13118,EWR,IND,105,645,06-01-2013 13:00,Expressjet Airlines Inc.,06-01-2013,02:17:00 PM,04:25:00 PM,Delayed,Medium  Haul
-3,-12,MQ,3728,N521MQ,EWR,ORD,121,719,06-01-2013 14:00,Envoy Air,06-01-2013,02:17:00 PM,03:38:00 PM,On Time,Medium  Haul
1,5,UA,1166,N21108,EWR,TPA,156,997,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:21:00 PM,05:18:00 PM,Delayed,Medium  Haul
-4,-22,UA,560,N518UA,JFK,SFO,348,2586,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:26:00 PM,05:33:00 PM,On Time,Long Haul
-2,5,B6,1161,N657JB,LGA,PBI,162,1035,06-01-2013 14:00,Jetblue Airways,06-01-2013,02:27:00 PM,05:27:00 PM,On Time,Medium  Haul
0,-8,EV,5712,N877AS,JFK,IAD,46,228,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:29:00 PM,03:39:00 PM,On Time,Short Haul
-1,-9,AA,883,N591AA,EWR,DFW,203,1372,06-01-2013 14:00,American Airlines Inc.,06-01-2013,02:29:00 PM,05:26:00 PM,On Time,Medium  Haul
0,-18,DL,1819,N916DN,LGA,MSP,151,1020,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,02:29:00 PM,04:24:00 PM,On Time,Medium  Haul
-6,8,B6,347,N298JB,JFK,SRQ,174,1041,06-01-2013 14:00,Jetblue Airways,06-01-2013,02:31:00 PM,05:50:00 PM,On Time,Medium  Haul
-3,-10,DL,1344,N361NB,LGA,MCI,170,1107,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,02:32:00 PM,04:51:00 PM,On Time,Medium  Haul
-3,-8,DL,1902,N324NB,LGA,PBI,163,1035,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,02:32:00 PM,05:34:00 PM,On Time,Medium  Haul
-2,-16,UA,459,N839UA,EWR,ORD,117,719,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:33:00 PM,03:55:00 PM,On Time,Medium  Haul
-11,-8,EV,5623,N859AS,LGA,RDU,94,431,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:34:00 PM,04:32:00 PM,On Time,Short Haul
9,-11,EV,5164,N712EV,EWR,MSP,151,1008,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:34:00 PM,04:19:00 PM,Delayed,Medium  Haul
-9,-18,US,1445,N564UW,LGA,CLT,94,544,06-01-2013 14:00,Us Airways Inc.,06-01-2013,02:36:00 PM,04:29:00 PM,On Time,Medium  Haul
2,-7,EV,5968,N13964,LGA,IAD,50,229,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:37:00 PM,03:52:00 PM,Delayed,Short Haul
9,-19,DL,2126,N713TW,JFK,SFO,343,2586,06-01-2013 14:00,Delta Air Lines Inc.,06-01-2013,02:39:00 PM,05:56:00 PM,Delayed,Long Haul
-5,2,9E,3452,N601LR,JFK,BOS,37,187,06-01-2013 14:00,Endeavor Air Inc.,06-01-2013,02:40:00 PM,04:08:00 PM,On Time,Short Haul
1,-1,EV,4181,N33182,EWR,MCI,171,1092,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:41:00 PM,04:55:00 PM,Delayed,Medium  Haul
-4,0,MQ,4669,N515MQ,LGA,ATL,126,762,06-01-2013 14:00,Envoy Air,06-01-2013,02:41:00 PM,05:10:00 PM,On Time,Medium  Haul
-3,7,UA,275,N485UA,LGA,IAH,224,1416,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:41:00 PM,06:02:00 PM,On Time,Medium  Haul
-2,-8,UA,1418,N24715,EWR,AUS,235,1504,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:41:00 PM,05:55:00 PM,On Time,Long Haul
0,6,EV,4381,N48901,EWR,DTW,95,488,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:45:00 PM,04:46:00 PM,On Time,Short Haul
-5,-21,AA,1813,N5EUAA,JFK,MCO,144,944,06-01-2013 14:00,American Airlines Inc.,06-01-2013,02:45:00 PM,05:34:00 PM,On Time,Medium  Haul
36,46,EV,4687,N14923,EWR,CVG,113,569,06-01-2013 14:00,Expressjet Airlines Inc.,06-01-2013,02:46:00 PM,05:03:00 PM,Delayed,Medium  Haul
24,17,B6,1010,N187JB,JFK,BOS,39,187,06-01-2013 14:00,Jetblue Airways,06-01-2013,02:46:00 PM,03:52:00 PM,Delayed,Short Haul
-4,-4,MQ,4172,N672MQ,JFK,CLE,84,425,06-01-2013 14:00,Envoy Air,06-01-2013,02:46:00 PM,04:41:00 PM,On Time,Short Haul
-8,3,9E,4357,N8554A,JFK,ORF,57,290,06-01-2013 14:00,Endeavor Air Inc.,06-01-2013,02:48:00 PM,04:27:00 PM,On Time,Short Haul
3,-20,UA,256,N567UA,EWR,DEN,222,1605,06-01-2013 14:00,United Air Lines Inc.,06-01-2013,02:48:00 PM,04:47:00 PM,Delayed,Long Haul
